player,team,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,agent,map,tourney_type,game_id,match_id,role_agent,total_round,ot,win_lose
mindfreak,PRX,4,0,0,0,0,1,0,0,0,Viper,Fracture,League Play: Week 2,119534,184463,Controller,24,Yes,lose
f0rsakeN,PRX,2,1,1,0,0,0,0,0,0,Neon,Fracture,League Play: Week 2,119534,184463,Duelist,24,Yes,lose
Benkai,PRX,2,1,0,0,0,0,0,0,0,Breach,Fracture,League Play: Week 2,119534,184463,Initiator,24,Yes,lose
d4v41,PRX,2,1,0,0,0,0,1,0,0,Killjoy,Fracture,League Play: Week 2,119534,184463,Sentinel,24,Yes,lose
BORKUM,TS,2,0,0,0,0,0,0,0,0,Astra,Split,League Play: Week 2,119535,184463,Controller,23,No,win
JessieVash,TS,2,0,0,0,0,1,0,0,0,Cypher,Split,League Play: Week 2,119535,184463,Sentinel,23,No,win
DubsteP,TS,4,2,0,0,0,0,0,0,0,Jett,Split,League Play: Week 2,119535,184463,Duelist,23,No,win
Jremy,TS,4,3,0,0,0,0,0,0,0,Raze,Split,League Play: Week 2,119535,184463,Duelist,23,No,win
invy,TS,2,0,0,0,0,0,0,0,0,Skye,Split,League Play: Week 2,119535,184463,Initiator,23,No,win
Jinggg,PRX,3,2,0,1,0,0,0,1,0,Raze,Split,League Play: Week 2,119535,184463,Duelist,23,No,lose
mindfreak,PRX,0,0,0,0,0,0,0,0,0,Astra,Split,League Play: Week 2,119535,184463,Controller,23,No,lose
f0rsakeN,PRX,3,0,0,0,0,0,0,0,0,Jett,Split,League Play: Week 2,119535,184463,Duelist,23,No,lose
Benkai,PRX,3,0,0,0,0,0,0,0,0,Viper,Split,League Play: Week 2,119535,184463,Controller,23,No,lose
d4v41,PRX,3,1,0,0,0,0,0,0,0,Skye,Split,League Play: Week 2,119535,184463,Initiator,23,No,lose
k1Ng,GEN,3,1,0,0,0,0,0,0,0,Killjoy,Lotus,League Play: Week 2,119536,184465,Sentinel,21,No,win
TS,GEN,6,0,0,0,1,0,0,0,0,Omen,Lotus,League Play: Week 2,119536,184465,Controller,21,No,win
Sylvan,GEN,4,0,0,0,1,0,0,0,0,Fade,Lotus,League Play: Week 2,119536,184465,Initiator,21,No,win
GodDead,GEN,3,0,0,0,0,1,0,0,0,Kayo,Lotus,League Play: Week 2,119536,184465,Initiator,21,No,win
